YEAR,DISTRICT,UPAZILA/THANA,EIIN,INSTITUTE NAME,CLASS_SIX_AGE_UNDER11,CLASS_SIX_AGE11,CLASS_SIX_AGE12,CLASS_SIX_AGE13,CLASS_SIX_AGE14,CLASS_SIX_AGE15,CLASS_SIX_AGE_UPER15,CLASS_SEVEN_AGE_UNDER11,CLASS_SEVEN_AGE11,CLASS_SEVEN_AGE12,CLASS_SEVEN_AGE13,CLASS_SEVEN_AGE14,CLASS_SEVEN_AGE15,CLASS_SEVEN_AGE_UPER15,CLASS_EIGHT_AGE_UNDER11,CLASS_EIGHT_AGE11,CLASS_EIGHT_AGE12,CLASS_EIGHT_AGE13,CLASS_EIGHT_AGE14,CLASS_EIGHT_AGE15,CLASS_EIGHT_AGE_UPER15,CLASS_NINE_AGE_UNDER11,CLASS_NINE_AGE11,CLASS_NINE_AGE12,CLASS_NINE_AGE13,CLASS_NINE_AGE14,CLASS_NINE_AGE15,CLASS_NINE_AGE_UPER15,CLASS_TEN_AGE_UNDER11,CLASS_TEN_AGE11,CLASS_TEN_AGE12,CLASS_TEN_AGE13,CLASS_TEN_AGE14,CLASS_TEN_AGE15,CLASS_TEN_AGE_UPER15
2016,NAOGAON,MAHADEBPUR,123360,PAHARPUR J.N GIRLS HIGH SCHOOL,2.0,5.0,58.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2016,NAOGAON,MAHADEBPUR,123361,KUNJABON BONDAR KARIGORI GIRLS HIGH SCHOOL,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0
2016,NAOGAON,MAHADEBPUR,123362,AKHTER SIDDIQUE GIRLS HIGH SCHOOL,20.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,51.0,0.0,0.0,0.0,0.0,0.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0
2016,NAOGAON,MAHADEBPUR,123363,MATTRI MANGAL JUNIOR GIRLS SCHOOL,3.0,2.0,3.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,7.0,4.0,5.0,10.0,5.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0
2016,NAOGAON,MAHADEBPUR,123364,FARMANPUR JUNIOR SCHOOL,5.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123365,PAHAR PUR JUNIOR  SCHOOL,19.0,18.0,9.0,6.0,0.0,0.0,1.0,0.0,27.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,13.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0
2016,NAOGAON,MAHADEBPUR,123366,MALAHAR GIRLS HIGH SCHOOL,13.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,20.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0
2016,NAOGAON,MAHADEBPUR,123367,BAGDOBE JUNIOR GIRLS SCHOOL,20.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,32.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123368,BIL SHIKARY HIGH SCHOOL,25.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0
2016,NAOGAON,MAHADEBPUR,123369,BAMONSATA ADARSHA  HIGH SCHOOL,6.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,20.0,0.0,0.0,0.0,0.0,2.0,18.0,22.0,0.0
2016,NAOGAON,MAHADEBPUR,123370,KANCHON GIRLS HIGH  SCHOOL,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123371,CHANDASH  GIRLS HIGH SCHOOL,14.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0
2016,NAOGAON,MAHADEBPUR,123372,BORENDRA BIDYA NIKETON HIGH SCHOOL,12.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,7.0
2016,NAOGAON,MAHADEBPUR,123373,SHAGRAIL ADARSHA JUNIOR SCHOOL,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123374,CHANDA IDEAL HIGH SCHOOL,55.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
2016,NAOGAON,MAHADEBPUR,123375,MAYGORA JUNIOR SCHOOL,0.0,10.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123376,BHALAIN ALTAFUN NESA MEMORIAL  HIGH SCHOOL,3.0,18.0,34.0,8.0,2.0,0.0,0.0,0.0,1.0,2.0,33.0,7.0,3.0,0.0,0.0,0.0,1.0,9.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0
2016,NAOGAON,MAHADEBPUR,123377,B. S. JUNIOR GIRLS SCHOOL,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123410,JAHANGIRPUR GIRLS SCHOOL & COLLEGE,0.0,0.0,100.0,18.0,0.0,0.0,0.0,0.0,0.0,34.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0
